,date,weekday,weekday_int,d,event
606,2012-09-26,Wednesday,5,d_607,no event
607,2012-09-27,Thursday,6,d_608,no event
608,2012-09-28,Friday,7,d_609,no event
609,2012-09-29,Saturday,1,d_610,no event
610,2012-09-30,Sunday,2,d_611,no event
611,2012-10-01,Monday,3,d_612,no event
612,2012-10-02,Tuesday,4,d_613,no event
613,2012-10-03,Wednesday,5,d_614,no event
614,2012-10-04,Thursday,6,d_615,no event
615,2012-10-05,Friday,7,d_616,no event
616,2012-10-06,Saturday,1,d_617,no event
617,2012-10-07,Sunday,2,d_618,no event
618,2012-10-08,Monday,3,d_619,no event
619,2012-10-09,Tuesday,4,d_620,no event
620,2012-10-10,Wednesday,5,d_621,no event
621,2012-10-11,Thursday,6,d_622,no event
622,2012-10-12,Friday,7,d_623,no event
623,2012-10-13,Saturday,1,d_624,no event
624,2012-10-14,Sunday,2,d_625,no event
625,2012-10-15,Monday,3,d_626,no event
626,2012-10-16,Tuesday,4,d_627,no event
627,2012-10-17,Wednesday,5,d_628,no event
628,2012-10-18,Thursday,6,d_629,no event
629,2012-10-19,Friday,7,d_630,no event
630,2012-10-20,Saturday,1,d_631,no event
631,2012-10-21,Sunday,2,d_632,no event
632,2012-10-22,Monday,3,d_633,no event
633,2012-10-23,Tuesday,4,d_634,no event
634,2012-10-24,Wednesday,5,d_635,no event
635,2012-10-25,Thursday,6,d_636,no event
636,2012-10-26,Friday,7,d_637,no event
637,2012-10-27,Saturday,1,d_638,no event
638,2012-10-28,Sunday,2,d_639,no event
639,2012-10-29,Monday,3,d_640,no event
640,2012-10-30,Tuesday,4,d_641,no event
641,2012-10-31,Wednesday,5,d_642,no event
642,2012-11-01,Thursday,6,d_643,no event
643,2012-11-02,Friday,7,d_644,no event
644,2012-11-03,Saturday,1,d_645,no event
645,2012-11-04,Sunday,2,d_646,no event
646,2012-11-05,Monday,3,d_647,no event
647,2012-11-06,Tuesday,4,d_648,no event
648,2012-11-07,Wednesday,5,d_649,no event
649,2012-11-08,Thursday,6,d_650,no event
650,2012-11-09,Friday,7,d_651,no event
651,2012-11-10,Saturday,1,d_652,no event
652,2012-11-11,Sunday,2,d_653,no event
653,2012-11-12,Monday,3,d_654,no event
654,2012-11-13,Tuesday,4,d_655,no event
655,2012-11-14,Wednesday,5,d_656,no event
656,2012-11-15,Thursday,6,d_657,no event
657,2012-11-16,Friday,7,d_658,no event
658,2012-11-17,Saturday,1,d_659,no event
659,2012-11-18,Sunday,2,d_660,no event
660,2012-11-19,Monday,3,d_661,no event
661,2012-11-20,Tuesday,4,d_662,no event
662,2012-11-21,Wednesday,5,d_663,no event
663,2012-11-22,Thursday,6,d_664,Thanksgiving
664,2012-11-23,Friday,7,d_665,no event
665,2012-11-24,Saturday,1,d_666,no event
666,2012-11-25,Sunday,2,d_667,no event
667,2012-11-26,Monday,3,d_668,no event
668,2012-11-27,Tuesday,4,d_669,no event
669,2012-11-28,Wednesday,5,d_670,no event
670,2012-11-29,Thursday,6,d_671,no event
671,2012-11-30,Friday,7,d_672,no event
672,2012-12-01,Saturday,1,d_673,no event
673,2012-12-02,Sunday,2,d_674,no event
674,2012-12-03,Monday,3,d_675,no event
675,2012-12-04,Tuesday,4,d_676,no event
676,2012-12-05,Wednesday,5,d_677,no event
677,2012-12-06,Thursday,6,d_678,no event
678,2012-12-07,Friday,7,d_679,no event
679,2012-12-08,Saturday,1,d_680,no event
680,2012-12-09,Sunday,2,d_681,no event
681,2012-12-10,Monday,3,d_682,no event
682,2012-12-11,Tuesday,4,d_683,no event
683,2012-12-12,Wednesday,5,d_684,no event
684,2012-12-13,Thursday,6,d_685,no event
685,2012-12-14,Friday,7,d_686,no event
686,2012-12-15,Saturday,1,d_687,no event
687,2012-12-16,Sunday,2,d_688,no event
688,2012-12-17,Monday,3,d_689,no event
689,2012-12-18,Tuesday,4,d_690,no event
690,2012-12-19,Wednesday,5,d_691,no event
691,2012-12-20,Thursday,6,d_692,no event
692,2012-12-21,Friday,7,d_693,no event
693,2012-12-22,Saturday,1,d_694,no event
694,2012-12-23,Sunday,2,d_695,no event
695,2012-12-24,Monday,3,d_696,no event
696,2012-12-25,Tuesday,4,d_697,no event
697,2012-12-26,Wednesday,5,d_698,no event
698,2012-12-27,Thursday,6,d_699,no event
699,2012-12-28,Friday,7,d_700,no event
700,2012-12-29,Saturday,1,d_701,no event
701,2012-12-30,Sunday,2,d_702,no event
702,2012-12-31,Monday,3,d_703,no event
703,2013-01-01,Tuesday,4,d_704,NewYear
704,2013-01-02,Wednesday,5,d_705,no event
705,2013-01-03,Thursday,6,d_706,no event
706,2013-01-04,Friday,7,d_707,no event
707,2013-01-05,Saturday,1,d_708,no event
708,2013-01-06,Sunday,2,d_709,no event
709,2013-01-07,Monday,3,d_710,no event
710,2013-01-08,Tuesday,4,d_711,no event
711,2013-01-09,Wednesday,5,d_712,no event
712,2013-01-10,Thursday,6,d_713,no event
713,2013-01-11,Friday,7,d_714,no event
714,2013-01-12,Saturday,1,d_715,no event
715,2013-01-13,Sunday,2,d_716,no event
716,2013-01-14,Monday,3,d_717,no event
717,2013-01-15,Tuesday,4,d_718,no event
718,2013-01-16,Wednesday,5,d_719,no event
719,2013-01-17,Thursday,6,d_720,no event
720,2013-01-18,Friday,7,d_721,no event
721,2013-01-19,Saturday,1,d_722,no event
722,2013-01-20,Sunday,2,d_723,no event
723,2013-01-21,Monday,3,d_724,no event
724,2013-01-22,Tuesday,4,d_725,no event
725,2013-01-23,Wednesday,5,d_726,no event
726,2013-01-24,Thursday,6,d_727,no event
727,2013-01-25,Friday,7,d_728,no event
728,2013-01-26,Saturday,1,d_729,no event
729,2013-01-27,Sunday,2,d_730,no event
730,2013-01-28,Monday,3,d_731,no event
731,2013-01-29,Tuesday,4,d_732,no event
732,2013-01-30,Wednesday,5,d_733,no event
733,2013-01-31,Thursday,6,d_734,no event
734,2013-02-01,Friday,7,d_735,no event
735,2013-02-02,Saturday,1,d_736,no event
736,2013-02-03,Sunday,2,d_737,SuperBowl
737,2013-02-04,Monday,3,d_738,no event
738,2013-02-05,Tuesday,4,d_739,no event
739,2013-02-06,Wednesday,5,d_740,no event
740,2013-02-07,Thursday,6,d_741,no event
741,2013-02-08,Friday,7,d_742,no event
742,2013-02-09,Saturday,1,d_743,no event
743,2013-02-10,Sunday,2,d_744,no event
744,2013-02-11,Monday,3,d_745,no event
745,2013-02-12,Tuesday,4,d_746,no event
746,2013-02-13,Wednesday,5,d_747,no event
747,2013-02-14,Thursday,6,d_748,no event
748,2013-02-15,Friday,7,d_749,no event
749,2013-02-16,Saturday,1,d_750,no event
750,2013-02-17,Sunday,2,d_751,no event
751,2013-02-18,Monday,3,d_752,no event
752,2013-02-19,Tuesday,4,d_753,no event
753,2013-02-20,Wednesday,5,d_754,no event
754,2013-02-21,Thursday,6,d_755,no event
755,2013-02-22,Friday,7,d_756,no event
756,2013-02-23,Saturday,1,d_757,no event
757,2013-02-24,Sunday,2,d_758,no event
758,2013-02-25,Monday,3,d_759,no event
759,2013-02-26,Tuesday,4,d_760,no event
760,2013-02-27,Wednesday,5,d_761,no event
761,2013-02-28,Thursday,6,d_762,no event
762,2013-03-01,Friday,7,d_763,no event
763,2013-03-02,Saturday,1,d_764,no event
764,2013-03-03,Sunday,2,d_765,no event
765,2013-03-04,Monday,3,d_766,no event
766,2013-03-05,Tuesday,4,d_767,no event
767,2013-03-06,Wednesday,5,d_768,no event
768,2013-03-07,Thursday,6,d_769,no event
769,2013-03-08,Friday,7,d_770,no event
770,2013-03-09,Saturday,1,d_771,no event
771,2013-03-10,Sunday,2,d_772,no event
772,2013-03-11,Monday,3,d_773,no event
773,2013-03-12,Tuesday,4,d_774,no event
774,2013-03-13,Wednesday,5,d_775,no event
775,2013-03-14,Thursday,6,d_776,no event
776,2013-03-15,Friday,7,d_777,no event
777,2013-03-16,Saturday,1,d_778,no event
778,2013-03-17,Sunday,2,d_779,no event
779,2013-03-18,Monday,3,d_780,no event
780,2013-03-19,Tuesday,4,d_781,no event
781,2013-03-20,Wednesday,5,d_782,no event
782,2013-03-21,Thursday,6,d_783,no event
783,2013-03-22,Friday,7,d_784,no event
784,2013-03-23,Saturday,1,d_785,no event
785,2013-03-24,Sunday,2,d_786,no event
786,2013-03-25,Monday,3,d_787,no event
787,2013-03-26,Tuesday,4,d_788,no event
788,2013-03-27,Wednesday,5,d_789,no event
789,2013-03-28,Thursday,6,d_790,no event
790,2013-03-29,Friday,7,d_791,no event
791,2013-03-30,Saturday,1,d_792,no event
792,2013-03-31,Sunday,2,d_793,Easter
793,2013-04-01,Monday,3,d_794,no event
794,2013-04-02,Tuesday,4,d_795,no event
795,2013-04-03,Wednesday,5,d_796,no event
796,2013-04-04,Thursday,6,d_797,no event
797,2013-04-05,Friday,7,d_798,no event
798,2013-04-06,Saturday,1,d_799,no event
799,2013-04-07,Sunday,2,d_800,no event
800,2013-04-08,Monday,3,d_801,no event
801,2013-04-09,Tuesday,4,d_802,no event
802,2013-04-10,Wednesday,5,d_803,no event
803,2013-04-11,Thursday,6,d_804,no event
804,2013-04-12,Friday,7,d_805,no event
805,2013-04-13,Saturday,1,d_806,no event
806,2013-04-14,Sunday,2,d_807,no event
807,2013-04-15,Monday,3,d_808,no event
808,2013-04-16,Tuesday,4,d_809,no event
809,2013-04-17,Wednesday,5,d_810,no event
810,2013-04-18,Thursday,6,d_811,no event
811,2013-04-19,Friday,7,d_812,no event
812,2013-04-20,Saturday,1,d_813,no event
813,2013-04-21,Sunday,2,d_814,no event
814,2013-04-22,Monday,3,d_815,no event
815,2013-04-23,Tuesday,4,d_816,no event
816,2013-04-24,Wednesday,5,d_817,no event
817,2013-04-25,Thursday,6,d_818,no event
818,2013-04-26,Friday,7,d_819,no event
819,2013-04-27,Saturday,1,d_820,no event
820,2013-04-28,Sunday,2,d_821,no event
821,2013-04-29,Monday,3,d_822,no event
822,2013-04-30,Tuesday,4,d_823,no event
823,2013-05-01,Wednesday,5,d_824,no event
824,2013-05-02,Thursday,6,d_825,no event
825,2013-05-03,Friday,7,d_826,no event
826,2013-05-04,Saturday,1,d_827,no event
827,2013-05-05,Sunday,2,d_828,no event
828,2013-05-06,Monday,3,d_829,no event
829,2013-05-07,Tuesday,4,d_830,no event
830,2013-05-08,Wednesday,5,d_831,no event
831,2013-05-09,Thursday,6,d_832,no event
832,2013-05-10,Friday,7,d_833,no event
833,2013-05-11,Saturday,1,d_834,no event
834,2013-05-12,Sunday,2,d_835,no event
835,2013-05-13,Monday,3,d_836,no event
836,2013-05-14,Tuesday,4,d_837,no event
837,2013-05-15,Wednesday,5,d_838,no event
838,2013-05-16,Thursday,6,d_839,no event
839,2013-05-17,Friday,7,d_840,no event
840,2013-05-18,Saturday,1,d_841,no event
841,2013-05-19,Sunday,2,d_842,no event
842,2013-05-20,Monday,3,d_843,no event
843,2013-05-21,Tuesday,4,d_844,no event
844,2013-05-22,Wednesday,5,d_845,no event
845,2013-05-23,Thursday,6,d_846,no event
846,2013-05-24,Friday,7,d_847,no event
847,2013-05-25,Saturday,1,d_848,no event
848,2013-05-26,Sunday,2,d_849,no event
849,2013-05-27,Monday,3,d_850,no event
850,2013-05-28,Tuesday,4,d_851,no event
851,2013-05-29,Wednesday,5,d_852,no event
852,2013-05-30,Thursday,6,d_853,no event
853,2013-05-31,Friday,7,d_854,no event
854,2013-06-01,Saturday,1,d_855,no event
855,2013-06-02,Sunday,2,d_856,no event
856,2013-06-03,Monday,3,d_857,no event
857,2013-06-04,Tuesday,4,d_858,no event
858,2013-06-05,Wednesday,5,d_859,no event
859,2013-06-06,Thursday,6,d_860,no event
860,2013-06-07,Friday,7,d_861,no event
861,2013-06-08,Saturday,1,d_862,no event
862,2013-06-09,Sunday,2,d_863,no event
863,2013-06-10,Monday,3,d_864,no event
864,2013-06-11,Tuesday,4,d_865,no event
865,2013-06-12,Wednesday,5,d_866,no event
866,2013-06-13,Thursday,6,d_867,no event
867,2013-06-14,Friday,7,d_868,no event
868,2013-06-15,Saturday,1,d_869,no event
869,2013-06-16,Sunday,2,d_870,no event
870,2013-06-17,Monday,3,d_871,no event
871,2013-06-18,Tuesday,4,d_872,no event
872,2013-06-19,Wednesday,5,d_873,no event
873,2013-06-20,Thursday,6,d_874,no event
874,2013-06-21,Friday,7,d_875,no event
875,2013-06-22,Saturday,1,d_876,no event
876,2013-06-23,Sunday,2,d_877,no event
877,2013-06-24,Monday,3,d_878,no event
878,2013-06-25,Tuesday,4,d_879,no event
879,2013-06-26,Wednesday,5,d_880,no event
880,2013-06-27,Thursday,6,d_881,no event
881,2013-06-28,Friday,7,d_882,no event
882,2013-06-29,Saturday,1,d_883,no event
883,2013-06-30,Sunday,2,d_884,no event
884,2013-07-01,Monday,3,d_885,no event
885,2013-07-02,Tuesday,4,d_886,no event
886,2013-07-03,Wednesday,5,d_887,no event
887,2013-07-04,Thursday,6,d_888,no event
888,2013-07-05,Friday,7,d_889,no event
889,2013-07-06,Saturday,1,d_890,no event
890,2013-07-07,Sunday,2,d_891,no event
891,2013-07-08,Monday,3,d_892,no event
892,2013-07-09,Tuesday,4,d_893,Ramadan starts
893,2013-07-10,Wednesday,5,d_894,no event
894,2013-07-11,Thursday,6,d_895,no event
895,2013-07-12,Friday,7,d_896,no event
896,2013-07-13,Saturday,1,d_897,no event
897,2013-07-14,Sunday,2,d_898,no event
898,2013-07-15,Monday,3,d_899,no event
899,2013-07-16,Tuesday,4,d_900,no event
900,2013-07-17,Wednesday,5,d_901,no event
901,2013-07-18,Thursday,6,d_902,no event
902,2013-07-19,Friday,7,d_903,no event
903,2013-07-20,Saturday,1,d_904,no event
904,2013-07-21,Sunday,2,d_905,no event
905,2013-07-22,Monday,3,d_906,no event
906,2013-07-23,Tuesday,4,d_907,no event
907,2013-07-24,Wednesday,5,d_908,no event
908,2013-07-25,Thursday,6,d_909,no event
909,2013-07-26,Friday,7,d_910,no event
910,2013-07-27,Saturday,1,d_911,no event
911,2013-07-28,Sunday,2,d_912,no event
912,2013-07-29,Monday,3,d_913,no event
913,2013-07-30,Tuesday,4,d_914,no event
914,2013-07-31,Wednesday,5,d_915,no event
915,2013-08-01,Thursday,6,d_916,no event
916,2013-08-02,Friday,7,d_917,no event
917,2013-08-03,Saturday,1,d_918,no event
918,2013-08-04,Sunday,2,d_919,no event
919,2013-08-05,Monday,3,d_920,no event
920,2013-08-06,Tuesday,4,d_921,no event
921,2013-08-07,Wednesday,5,d_922,no event
922,2013-08-08,Thursday,6,d_923,no event
923,2013-08-09,Friday,7,d_924,no event
924,2013-08-10,Saturday,1,d_925,no event
925,2013-08-11,Sunday,2,d_926,no event
926,2013-08-12,Monday,3,d_927,no event
927,2013-08-13,Tuesday,4,d_928,no event
928,2013-08-14,Wednesday,5,d_929,no event
929,2013-08-15,Thursday,6,d_930,no event
930,2013-08-16,Friday,7,d_931,no event
931,2013-08-17,Saturday,1,d_932,no event
932,2013-08-18,Sunday,2,d_933,no event
933,2013-08-19,Monday,3,d_934,no event
934,2013-08-20,Tuesday,4,d_935,no event
935,2013-08-21,Wednesday,5,d_936,no event
936,2013-08-22,Thursday,6,d_937,no event
937,2013-08-23,Friday,7,d_938,no event
938,2013-08-24,Saturday,1,d_939,no event
939,2013-08-25,Sunday,2,d_940,no event
940,2013-08-26,Monday,3,d_941,no event
941,2013-08-27,Tuesday,4,d_942,no event
942,2013-08-28,Wednesday,5,d_943,no event
943,2013-08-29,Thursday,6,d_944,no event
944,2013-08-30,Friday,7,d_945,no event
945,2013-08-31,Saturday,1,d_946,no event
946,2013-09-01,Sunday,2,d_947,no event
947,2013-09-02,Monday,3,d_948,no event
948,2013-09-03,Tuesday,4,d_949,no event
949,2013-09-04,Wednesday,5,d_950,no event
950,2013-09-05,Thursday,6,d_951,no event
951,2013-09-06,Friday,7,d_952,no event
952,2013-09-07,Saturday,1,d_953,no event
953,2013-09-08,Sunday,2,d_954,no event
954,2013-09-09,Monday,3,d_955,no event
955,2013-09-10,Tuesday,4,d_956,no event
956,2013-09-11,Wednesday,5,d_957,no event
957,2013-09-12,Thursday,6,d_958,no event
958,2013-09-13,Friday,7,d_959,no event
959,2013-09-14,Saturday,1,d_960,no event
960,2013-09-15,Sunday,2,d_961,no event
961,2013-09-16,Monday,3,d_962,no event
962,2013-09-17,Tuesday,4,d_963,no event
963,2013-09-18,Wednesday,5,d_964,no event
964,2013-09-19,Thursday,6,d_965,no event
965,2013-09-20,Friday,7,d_966,no event
966,2013-09-21,Saturday,1,d_967,no event
967,2013-09-22,Sunday,2,d_968,no event
968,2013-09-23,Monday,3,d_969,no event
969,2013-09-24,Tuesday,4,d_970,no event
970,2013-09-25,Wednesday,5,d_971,no event
971,2013-09-26,Thursday,6,d_972,no event
972,2013-09-27,Friday,7,d_973,no event
973,2013-09-28,Saturday,1,d_974,no event
974,2013-09-29,Sunday,2,d_975,no event
975,2013-09-30,Monday,3,d_976,no event
976,2013-10-01,Tuesday,4,d_977,no event
977,2013-10-02,Wednesday,5,d_978,no event
978,2013-10-03,Thursday,6,d_979,no event
979,2013-10-04,Friday,7,d_980,no event
980,2013-10-05,Saturday,1,d_981,no event
981,2013-10-06,Sunday,2,d_982,no event
982,2013-10-07,Monday,3,d_983,no event
983,2013-10-08,Tuesday,4,d_984,no event
984,2013-10-09,Wednesday,5,d_985,no event
985,2013-10-10,Thursday,6,d_986,no event
986,2013-10-11,Friday,7,d_987,no event
987,2013-10-12,Saturday,1,d_988,no event
988,2013-10-13,Sunday,2,d_989,no event
989,2013-10-14,Monday,3,d_990,no event
990,2013-10-15,Tuesday,4,d_991,no event
991,2013-10-16,Wednesday,5,d_992,no event
992,2013-10-17,Thursday,6,d_993,no event
993,2013-10-18,Friday,7,d_994,no event
994,2013-10-19,Saturday,1,d_995,no event
995,2013-10-20,Sunday,2,d_996,no event
996,2013-10-21,Monday,3,d_997,no event
997,2013-10-22,Tuesday,4,d_998,no event
998,2013-10-23,Wednesday,5,d_999,no event
999,2013-10-24,Thursday,6,d_1000,no event
1000,2013-10-25,Friday,7,d_1001,no event
1001,2013-10-26,Saturday,1,d_1002,no event
1002,2013-10-27,Sunday,2,d_1003,no event
1003,2013-10-28,Monday,3,d_1004,no event
1004,2013-10-29,Tuesday,4,d_1005,no event
1005,2013-10-30,Wednesday,5,d_1006,no event
1006,2013-10-31,Thursday,6,d_1007,no event
1007,2013-11-01,Friday,7,d_1008,no event
1008,2013-11-02,Saturday,1,d_1009,no event
1009,2013-11-03,Sunday,2,d_1010,no event
1010,2013-11-04,Monday,3,d_1011,no event
1011,2013-11-05,Tuesday,4,d_1012,no event
1012,2013-11-06,Wednesday,5,d_1013,no event
1013,2013-11-07,Thursday,6,d_1014,no event
1014,2013-11-08,Friday,7,d_1015,no event
1015,2013-11-09,Saturday,1,d_1016,no event
1016,2013-11-10,Sunday,2,d_1017,no event
1017,2013-11-11,Monday,3,d_1018,no event
1018,2013-11-12,Tuesday,4,d_1019,no event
1019,2013-11-13,Wednesday,5,d_1020,no event
1020,2013-11-14,Thursday,6,d_1021,no event
1021,2013-11-15,Friday,7,d_1022,no event
1022,2013-11-16,Saturday,1,d_1023,no event
1023,2013-11-17,Sunday,2,d_1024,no event
1024,2013-11-18,Monday,3,d_1025,no event
1025,2013-11-19,Tuesday,4,d_1026,no event
1026,2013-11-20,Wednesday,5,d_1027,no event
1027,2013-11-21,Thursday,6,d_1028,no event
1028,2013-11-22,Friday,7,d_1029,no event
1029,2013-11-23,Saturday,1,d_1030,no event
1030,2013-11-24,Sunday,2,d_1031,no event
1031,2013-11-25,Monday,3,d_1032,no event
1032,2013-11-26,Tuesday,4,d_1033,no event
1033,2013-11-27,Wednesday,5,d_1034,no event
1034,2013-11-28,Thursday,6,d_1035,Thanksgiving
1035,2013-11-29,Friday,7,d_1036,no event
1036,2013-11-30,Saturday,1,d_1037,no event
1037,2013-12-01,Sunday,2,d_1038,no event
1038,2013-12-02,Monday,3,d_1039,no event
1039,2013-12-03,Tuesday,4,d_1040,no event
1040,2013-12-04,Wednesday,5,d_1041,no event
1041,2013-12-05,Thursday,6,d_1042,no event
1042,2013-12-06,Friday,7,d_1043,no event
1043,2013-12-07,Saturday,1,d_1044,no event
1044,2013-12-08,Sunday,2,d_1045,no event
1045,2013-12-09,Monday,3,d_1046,no event
1046,2013-12-10,Tuesday,4,d_1047,no event
1047,2013-12-11,Wednesday,5,d_1048,no event
1048,2013-12-12,Thursday,6,d_1049,no event
1049,2013-12-13,Friday,7,d_1050,no event
1050,2013-12-14,Saturday,1,d_1051,no event
1051,2013-12-15,Sunday,2,d_1052,no event
1052,2013-12-16,Monday,3,d_1053,no event
1053,2013-12-17,Tuesday,4,d_1054,no event
1054,2013-12-18,Wednesday,5,d_1055,no event
1055,2013-12-19,Thursday,6,d_1056,no event
1056,2013-12-20,Friday,7,d_1057,no event
1057,2013-12-21,Saturday,1,d_1058,no event
1058,2013-12-22,Sunday,2,d_1059,no event
1059,2013-12-23,Monday,3,d_1060,no event
1060,2013-12-24,Tuesday,4,d_1061,no event
1061,2013-12-25,Wednesday,5,d_1062,no event
1062,2013-12-26,Thursday,6,d_1063,no event
1063,2013-12-27,Friday,7,d_1064,no event
1064,2013-12-28,Saturday,1,d_1065,no event
1065,2013-12-29,Sunday,2,d_1066,no event
1066,2013-12-30,Monday,3,d_1067,no event
1067,2013-12-31,Tuesday,4,d_1068,no event
1068,2014-01-01,Wednesday,5,d_1069,NewYear
1069,2014-01-02,Thursday,6,d_1070,no event
1070,2014-01-03,Friday,7,d_1071,no event
1071,2014-01-04,Saturday,1,d_1072,no event
1072,2014-01-05,Sunday,2,d_1073,no event
1073,2014-01-06,Monday,3,d_1074,no event
1074,2014-01-07,Tuesday,4,d_1075,no event
1075,2014-01-08,Wednesday,5,d_1076,no event
1076,2014-01-09,Thursday,6,d_1077,no event
1077,2014-01-10,Friday,7,d_1078,no event
1078,2014-01-11,Saturday,1,d_1079,no event
1079,2014-01-12,Sunday,2,d_1080,no event
1080,2014-01-13,Monday,3,d_1081,no event
1081,2014-01-14,Tuesday,4,d_1082,no event
1082,2014-01-15,Wednesday,5,d_1083,no event
1083,2014-01-16,Thursday,6,d_1084,no event
1084,2014-01-17,Friday,7,d_1085,no event
1085,2014-01-18,Saturday,1,d_1086,no event
1086,2014-01-19,Sunday,2,d_1087,no event
1087,2014-01-20,Monday,3,d_1088,no event
1088,2014-01-21,Tuesday,4,d_1089,no event
1089,2014-01-22,Wednesday,5,d_1090,no event
1090,2014-01-23,Thursday,6,d_1091,no event
1091,2014-01-24,Friday,7,d_1092,no event
1092,2014-01-25,Saturday,1,d_1093,no event
1093,2014-01-26,Sunday,2,d_1094,no event
1094,2014-01-27,Monday,3,d_1095,no event
1095,2014-01-28,Tuesday,4,d_1096,no event
1096,2014-01-29,Wednesday,5,d_1097,no event
1097,2014-01-30,Thursday,6,d_1098,no event
1098,2014-01-31,Friday,7,d_1099,no event
1099,2014-02-01,Saturday,1,d_1100,no event
1100,2014-02-02,Sunday,2,d_1101,SuperBowl
1101,2014-02-03,Monday,3,d_1102,no event
1102,2014-02-04,Tuesday,4,d_1103,no event
1103,2014-02-05,Wednesday,5,d_1104,no event
1104,2014-02-06,Thursday,6,d_1105,no event
1105,2014-02-07,Friday,7,d_1106,no event
1106,2014-02-08,Saturday,1,d_1107,no event
1107,2014-02-09,Sunday,2,d_1108,no event
1108,2014-02-10,Monday,3,d_1109,no event
1109,2014-02-11,Tuesday,4,d_1110,no event
1110,2014-02-12,Wednesday,5,d_1111,no event
1111,2014-02-13,Thursday,6,d_1112,no event
1112,2014-02-14,Friday,7,d_1113,no event
1113,2014-02-15,Saturday,1,d_1114,no event
1114,2014-02-16,Sunday,2,d_1115,no event
1115,2014-02-17,Monday,3,d_1116,no event
1116,2014-02-18,Tuesday,4,d_1117,no event
1117,2014-02-19,Wednesday,5,d_1118,no event
1118,2014-02-20,Thursday,6,d_1119,no event
1119,2014-02-21,Friday,7,d_1120,no event
1120,2014-02-22,Saturday,1,d_1121,no event
1121,2014-02-23,Sunday,2,d_1122,no event
1122,2014-02-24,Monday,3,d_1123,no event
1123,2014-02-25,Tuesday,4,d_1124,no event
1124,2014-02-26,Wednesday,5,d_1125,no event
1125,2014-02-27,Thursday,6,d_1126,no event
1126,2014-02-28,Friday,7,d_1127,no event
1127,2014-03-01,Saturday,1,d_1128,no event
1128,2014-03-02,Sunday,2,d_1129,no event
1129,2014-03-03,Monday,3,d_1130,no event
1130,2014-03-04,Tuesday,4,d_1131,no event
1131,2014-03-05,Wednesday,5,d_1132,no event
1132,2014-03-06,Thursday,6,d_1133,no event
1133,2014-03-07,Friday,7,d_1134,no event
1134,2014-03-08,Saturday,1,d_1135,no event
1135,2014-03-09,Sunday,2,d_1136,no event
1136,2014-03-10,Monday,3,d_1137,no event
1137,2014-03-11,Tuesday,4,d_1138,no event
1138,2014-03-12,Wednesday,5,d_1139,no event
1139,2014-03-13,Thursday,6,d_1140,no event
1140,2014-03-14,Friday,7,d_1141,no event
1141,2014-03-15,Saturday,1,d_1142,no event
1142,2014-03-16,Sunday,2,d_1143,no event
1143,2014-03-17,Monday,3,d_1144,no event
1144,2014-03-18,Tuesday,4,d_1145,no event
1145,2014-03-19,Wednesday,5,d_1146,no event
1146,2014-03-20,Thursday,6,d_1147,no event
1147,2014-03-21,Friday,7,d_1148,no event
1148,2014-03-22,Saturday,1,d_1149,no event
1149,2014-03-23,Sunday,2,d_1150,no event
1150,2014-03-24,Monday,3,d_1151,no event
1151,2014-03-25,Tuesday,4,d_1152,no event
1152,2014-03-26,Wednesday,5,d_1153,no event
1153,2014-03-27,Thursday,6,d_1154,no event
1154,2014-03-28,Friday,7,d_1155,no event
1155,2014-03-29,Saturday,1,d_1156,no event
1156,2014-03-30,Sunday,2,d_1157,no event
1157,2014-03-31,Monday,3,d_1158,no event
1158,2014-04-01,Tuesday,4,d_1159,no event
1159,2014-04-02,Wednesday,5,d_1160,no event
1160,2014-04-03,Thursday,6,d_1161,no event
1161,2014-04-04,Friday,7,d_1162,no event
1162,2014-04-05,Saturday,1,d_1163,no event
1163,2014-04-06,Sunday,2,d_1164,no event
1164,2014-04-07,Monday,3,d_1165,no event
1165,2014-04-08,Tuesday,4,d_1166,no event
1166,2014-04-09,Wednesday,5,d_1167,no event
1167,2014-04-10,Thursday,6,d_1168,no event
1168,2014-04-11,Friday,7,d_1169,no event
1169,2014-04-12,Saturday,1,d_1170,no event
1170,2014-04-13,Sunday,2,d_1171,no event
1171,2014-04-14,Monday,3,d_1172,no event
1172,2014-04-15,Tuesday,4,d_1173,no event
1173,2014-04-16,Wednesday,5,d_1174,no event
1174,2014-04-17,Thursday,6,d_1175,no event
1175,2014-04-18,Friday,7,d_1176,no event
1176,2014-04-19,Saturday,1,d_1177,no event
1177,2014-04-20,Sunday,2,d_1178,Easter
1178,2014-04-21,Monday,3,d_1179,no event
1179,2014-04-22,Tuesday,4,d_1180,no event
1180,2014-04-23,Wednesday,5,d_1181,no event
1181,2014-04-24,Thursday,6,d_1182,no event
1182,2014-04-25,Friday,7,d_1183,no event
1183,2014-04-26,Saturday,1,d_1184,no event
1184,2014-04-27,Sunday,2,d_1185,no event
1185,2014-04-28,Monday,3,d_1186,no event
1186,2014-04-29,Tuesday,4,d_1187,no event
1187,2014-04-30,Wednesday,5,d_1188,no event
1188,2014-05-01,Thursday,6,d_1189,no event
1189,2014-05-02,Friday,7,d_1190,no event
1190,2014-05-03,Saturday,1,d_1191,no event
1191,2014-05-04,Sunday,2,d_1192,no event
1192,2014-05-05,Monday,3,d_1193,no event
1193,2014-05-06,Tuesday,4,d_1194,no event
1194,2014-05-07,Wednesday,5,d_1195,no event
